"sent_no","sent_raw","syuzhet","bing","afinn","nrc"
6366,"""Goodnight, Charlie.""",0,0,0,0
6367,"The catchphrase of the late autumn owed an obvious debt to a previous prime minister: a half-hour is a long time in politics.",-0.9,-1,-2,0
6368,"Harold Wilson's original ""week"" seemed too long for this Parliament.",0,0,0,0
6369,"One afternoon it looked like there was going to be a leadership challenge.",0.25,1,2,-1
6370,"By the next morning there were insufficient signatures--the faint hearts had prevailed.",-1.3,-2,-2,-1
6371,"Soon after, the government survived by one vote a motion of no confidence in the House of Commons.",0.65,1,3,0
6372,"Certain senior Tories rebelled or abstained.",0.8,0,1,0
6373,"Mrs. Thatcher, insulted, furious, stubborn, deaf to good advice, called a snap election to be held in three weeks.",-2,-3,-4,-1
6374,"She was, in the general view, pulling the temple down on her party, most of which now believed she was an electoral liability.",-0.1,-1,0,1
6375,"She did not see it that way, but she was wrong.",-0.75,-1,-2,-1
6376,"The Tories could hardly match the momentum of Tony Benn's campaign, not in the TV and radio studios, not on the stump, certainly not in the industrial and university towns.",0.7,-1,0,3
6377,"The Falklands Catastrophe, as it was now called, came back to destroy her.",-1.25,-2,-6,-1
6378,"This time, no popular inclination to forgiveness in the because of national unity.",1,2,2,1
6379,"The televised testimony of grieving widows and their children was fatal.",-1.5,-2,-3,-1
6380,"The Labour campaign let no one forget how eloquently Benn had spoken out against the Task Force.",-0.55,1,-2,-1
6381,"The poll tax rankled.",-0.25,0,0,-1
6382,"As predicted, it was difficult and expensive to collect.",-0.75,-2,-1,0
6383,"More than a hundred celebrity non-payers, many of them actresses, were in prison and became martyrs.",-0.75,-1,-2,-1
6384,"A million voters under the age of thirty had recently joined the Labour Party.",0.6,0,0,1
6385,"Many of them were active on the nation's doorsteps.",0.25,0,1,0
6386,"On the eve of polling day, Benn gave a rousing speech at a rally in Wembley stadium.",0.25,0,0,1
6387,"The landslide was greater than predicted, exceeding the Labour victory of 1945.",1.4,2,6,1
6388,"It was a sad moment when Mrs. Thatcher decided to leave Number 10 on foot, hand in hand with her husband and two children.",-0.75,-1,-3,-1
6389,"She walked towards Whitehall, upright and defiant, but her tears were visible, and for a couple of days the country suffered pangs of remorse.",-2.95,-3,-7,-1
6390,"Labour had a majority of 162 MPs, many of whom were newly selected Bennites.",0.25,0,0,1
6391,"When the new prime minister returned from Buckingham Palace, where the Queen had invited him to form a government, he gave an important speech from outside Number 10.",1.4,1,2,2
6392,"The country would disengage unilaterally from its nuclear weaponry--that was no surprise.",0.2,0,-1,1
6393,"Also, the government would set about withdrawing from what was now called the European Union--that was a shock.",-1.25,-1,-2,-2
6394,"I he Party's manifesto had alluded to the idea in a single vague line which people had barely noticed.",-0.75,-1,-2,-1
6395,"From his new front door, Benn told the nation that there would be no rerun of the 1975 referendum.",0.8,0,-1,0
6396,"Parliament would make the decision.",0,0,0,0
6397,"Only the Third Reich and other tyrannies decided policy by plebiscites and generally no good came from them.",0.75,1,2,1
6398,"Europe was not simply a union that chiefly benefited large corporations.",0,0,0,0
6399,"The history of the continental member states was vastly different from our own.",0,0,0,0
6400,"They had suffered violent revolutions, invasions, occupations and dictatorships.",-1.75,-2,-5,-1
6401,"They were therefore only too willing to submerge their identities in a common because directed from Brussels.",0.8,1,0,0
6402,"We, on the other hand, had lived unconquered for nearly a thousand years.",0,0,0,0
6403,"Soon we would live freely again.",1,0,0,1
6404,"Benn gave an extended version of that speech a month later in the Manchester Free Trade Hall.",0.75,1,1,1
6405,"At his side sat the historian E. P. Thompson.",0,0,0,0
6406,"When it was his turn, he said that patriotism had always been the terrain of the political right.",1.05,1,0,0
6407,"Now it was the turn of the left to claim it for all.",0,0,0,0
6408,"Once nuclear weapons were banished, Thompson predicted, the government would raise a standing citizens' army that would make these islands impossible to invade and dominate.",-2.6,0,0,-3
6409,"He did not specify an enemy.",-0.75,-1,-2,-1
6410,"President Carter sent Benn a message of support, using words that caused a scandal on the right in the USA and haunted his second term: ""The word 'socialist' does not bother me.""",-1.2,0,-5,-2
6411,"A poll later suggested that half of registered Democrats wished they had voted for the defeated candidate, Ronald Reagan.",-0.75,1,-2,0
6412,"To me, psychologically confined to the city-state of north Clapham, all this--the events, the dissent, the grave analysis--was a busy hum, dipping and swelling from day to day, a matter of interest and concern, but nothing to compare with the turbulence of my domestic life, which came to a head in late October.",-3.35,-5,0,-4
6413,"By then, on the surface, all looked well.",0.8,1,0,0
6414,"We had modified our accommodation as Miranda had proposed, ready for Mark's arrival.",1.2,1,0,1
6415,"Our doors were removed and stored, the gloomy hall and its large fitted cupboard were brightly decorated, the gas and electricity meters concealed, a piece of carpet laid down.",-0.5,-1,-2,-1
6416,"Miranda's kitchen became a child's bedroom, with a blue sleigh bed and many books and toys, and transfers on the walls of fairy-tale castles, boats and winged horses.",0,0,0,1
6417,"I removed the bed from my study and disposed of it--a signpost on the road to full maturity.",0.65,1,0,3
6418,"I installed a desk for Miranda and bought two new computers.",0.8,0,0,0
6419,"Mark would be allowed to visit us for a few hours twice a week.",0.4,0,0,1
6420,"The adoption agency was pleased by the news of our imminent wedding.",0.5,1,3,1
6421,"I still had moments of unease, which I could not bring myself to share.",-0.5,-1,1,1
6422,"I joined in all the preparations, feeling guilty, even shocked sometimes, that I could keep up the pretence.",-0.4,-3,-4,0
6423,"On other occasions, fatherhood seemed an inevitability, and I was more or less content.",0.6,0,0,1
6424,"Miranda's tutor was impressed by the first three chapters of her dissertation.",0.75,1,3,1
6425,"Adam had still not submitted his material to the police and was reluctant to talk about it.",-0.35,-1,0,1
6426,"But he continued to work on it, and we were not troubled.",-0.5,0,-2,0
6427,"I paid a five per cent deposit in cash on the Notting Hill house.",0.4,0,0,1
6428,"After that, the fund stood at PS97,000.",0,0,0,0
6429,"The larger it became, the faster it grew, and faster still on the new computer.",1.4,1,0,0
6430,"My own work during this time consisted mostly of decorating and carpentry.",0.65,1,0,0
6431,"What marked the beginning of the turbulence began innocuously.",-0.4,0,0,0
6432,"On the eve of Mark's first visit, Miranda and I were drinking a late-night cup of tea in the kitchen when Adam came in with a carrier bag in his hand and announced that he was going for a walk.",0.4,0,0,-1
6433,"He had been for long solo walks before and we thought nothing of it.",0,0,0,0
6434,"I woke early the following morning with a clearer head than usual.",1.2,1,0,1
6435,"I slipped out of bed, careful not to wake Miranda, and went downstairs to make coffee.",0.25,0,2,1
6436,"Adam had not returned from his night walk.",0,0,0,0
6437,"I was surprised but I decided not to worry about him.",-0.75,-1,-3,-1
6438,"I was anxious to make use of my unusual state to catch up on dull administrative tasks, including the payment of household bills.",-1,-3,-4,-1
6439,"If I did not exploit this mood now, I would have had to drag myself to the business within the week and hate it.",-1.75,-3,-6,-1
6440,"Now I could breeze through.",0.1,1,0,0
6441,"I carried my cup into the study.",0.25,0,0,1
6442,"There was PS30 on the desk.",0,0,0,0
6443,"I put it in my pocket and thought no more of it.",0,0,-1,0
6444,"As usual, I glanced at the news first.",0.4,0,0,1
6445,"Nothing much.",0,0,0,0
6446,"The Labour Party Conference in Brighton had been delayed by six weeks because of internal disputes over policy and was only now just beginning.",-1.35,-1,-3,-1
6447,"There was increased police activity around the seafront.",0.25,0,1,1
6448,"Some sites were reporting a news blackout.",-0.25,0,0,0
6449,"Benn was already in trouble with his left for accepting an official invitation to the White House in place of greeting a Palestinian delegation.",1.25,-1,0,3
6450,"He had also failed to secure, as promised, the immediate release of the poll-tax martyrs.",0.5,1,1,-1
6451,"It was not so easy for the executive to instruct the judiciary.",1.2,1,1,1
6452,"He should have known that, many said, when he made his pledgeAlso, the tax itself was not about to be repealed because there were so many other more important bills going through Parliament.",0.5,1,2,0
6453,"There was also anger on his right.",0.05,0,-3,-1
6454,"Nuclear disarmament would cost 10,000 jobs.",-0.4,0,0,0
6455,"Leaving Europe, abolishing private education, renationalising the energy sector and doubling social security would mean a big rise in income tax.",0,0,2,-1
6456,"The City was seething over the reversal of deregulation and the half of one per cent tax on all trades in shares.",-0.75,-1,1,-2
6457,"Public administration was a special corner of hell, irresistible to certain personalities.",1.55,0,-1,1
6458,"Once there, and risen to the top, there was nothing they could do that did not make someone, some sector, hate them.",-0.75,0,-1,0
6459,"From the sidelines, the rest of us could comfortably loathe the entire machinery of government.",-0.25,0,-1,-1
6460,"Reading about the public inferno every day was compulsive to types like me, a mild form of mental illness.",-1.45,-1,0,0
6461,"At last I broke away and set about my duties.",-0.75,-1,-1,-1
6462,"After two hours, just past ten, I heard the doorbell ring and Miranda's footsteps above my head.",0,0,0,0
6463,"Minutes later, I heard steps at shorter frequency, moving at speed from one room to the other, then back.",0,0,0,0
6464,"After a brief silence, what sounded like a bouncing ball.",0.5,1,2,0
6465,"Then a resonating thump, as of a leap from a high place that made the ceiling-light fittings rattle and some plaster dust fall onto my arm.",-0.6,-3,0,-3
6466,"I sighed and considered again the prospect of fatherhood.",1.2,0,1,1
6467,"Ten minutes later, I was in the armchair in the kitchen, observing Mark.",0,0,0,0
6468,"Just below the worn armrest was a long tear in the leather into which I often shoved old newspapers, in part to dispose of them, but also in the vague hope they would substitute for the vanished stuffing.",-0.95,-2,-1,-2
6469,"Mark was counting as he pulled them out, one by one.",0,0,0,0
6470,"He unfolded them and spread them across the carpet.",0,0,0,0
6471,"Miranda was at the table, deep in a hushed phone call with Jasmin.",0,0,0,0
6472,"Mark was smoothing out each paper with a careful swimming motion of both hands, pressing it onto the floorboards and addressing it in a murmur.",0,0,2,1
6473,"""Number eight.",0,0,0,0
6474,"Now you go here and do not move .",0,0,0,0
6475,"nine .",0,0,0,0
6476,".. you stay here .",0,0,0,0
6477,".. ten ..",0,0,0,0
6478,"Mark was much changed.",0,0,0,0
6479,"He was an inch or so taller, the ginger-blond hair was long and thick and centre-parted.",0,0,0,0
6480,"He was dressed in the uniform of an adult world citizen--jeans, sweater, trainers.",0,0,0,1
6481,"The baby plumpness was going from his face, which was longer now, with a watchfulness in his gaze that may have derived from the upheavals in his life.",0.6,0,0,1
6482,"The eyes were a deep green, the skin of porcelain smoothness and pallor.",0.6,0,0,2
6483,"A perfect Celt.",0.75,1,3,1
6484,"Soon all the events of the previous months were at my feet.",0,0,0,0
6485,"Falklands warships burning, Mrs. Thatcher with raised hand at a Party Conference, President Carter in an embrace after a major speech.",0.75,-1,1,4
6486,"I was not sure whether Mark's counting game was a way of saying hello, of sidling up to me.",0,0,0,0
6487,"I sat patiently and waited.",1,1,0,0
6488,"Finally he stood and went to the table and retrieved a carton of chocolate dessert and a spoon and came back to me.",1.6,0,0,2
6489,"He stood with an elbow resting on my knee, fiddling with the edge of tinfoil he needed to remove.",-0.25,0,0,-1
6490,"He looked up.",0,0,0,0
6491,"""it is a bit tricky.""",0,-1,0,0
6492,"""Would you like me to help?""",0.5,1,4,0
6493,"""I can do it easily but not today so you have to.""",0,0,0,0
6494,"The accent was still the generalised cockney of London and its surrounds, but there was another element, some undertones inflecting the vowels.",0,0,0,0
6495,"Something of Miranda's, I thought.",0,0,0,0
6496,"He put the carton in my hands.",0,0,0,0
6497,"I opened it for him and handed it back.",0,0,0,0
6498,"I said, ""Do you want to sit at the table to eat it?""",0.6,0,1,1
6499,"He patted the arm of my chair.",0,0,0,0
6500,"I helped him up and he sat, perched above me, spooning the chocolate into his mouth.",1.4,1,0,1
6501,"When a dollop fell on my knee, he glanced down and murmured an untroubled ""Oops.""",-0.5,-1,-2,-1
6502,"As soon as he was done, he handed spoon and carton to me and said, ""where is that man?""",0,0,0,0
6503,"""Which man?""",0,0,0,0
6504,"""With the funny nose.""",0.8,-1,4,0
6505,"""that is what I was wondering.",0,0,0,0
6506,"He went for a walk last night and has not come back.""",0,0,0,0
6507,"""When he should be in bed.""",0,0,0,0
6508,"""Exactly.""",0,0,0,0
6509,"Mark spoke directly into my growing concern.",0.2,-1,1,-1
6510,"Adam often took long walks, but never overnight.",0,0,0,0
6511,"If Mark had not been there, I might have been pacing the room, waiting for Miranda to finish on the phone so that we could fret together.",-0.5,-1,0,-1
6512,"I said, ""what is in your suitcase?""",0,0,0,0
